feature,importance
image_emb_90,1948.367249250412
image_emb_309,1948.0905291438103
image_emb_312,1946.630066037178
text_emb_155,1946.0766372084618
image_emb_151,1944.1863840222359
image_emb_107,1940.1574989557266
image_emb_256,1939.169752418995
text_emb_108,1936.6513592004776
image_emb_113,1934.0732533931732
text_emb_344,1934.058786034584
text_emb_150,1931.991554915905
image_emb_193,1931.2108338475227
image_emb_403,1927.7551859617233
text_emb_357,1927.5006654262543
image_emb_66,1926.559621810913
image_emb_44,1925.4805501103401
text_emb_25,1923.112078666687
text_emb_137,1917.339749455452
image_emb_478,1916.0645760297775
image_emb_34,1915.7436081171036
image_emb_482,1915.1646233201027
text_emb_218,1913.938888311386
image_emb_501,1913.1949048042297
text_emb_327,1912.502165555954
image_emb_17,1910.7862700223923
text_emb_172,1909.448727607727
text_emb_44,1907.953566133976
text_emb_267,1906.6689671278
image_emb_492,1906.6342016458511
image_emb_74,1906.3275567293167
text_emb_63,1905.8006995916367
text_emb_290,1905.7861824035645
text_emb_130,1904.351538836956
text_emb_285,1903.9591653347015
text_emb_138,1901.6275420188904
text_emb_359,1900.877652823925
image_emb_390,1900.2394184470177
image_emb_144,1900.2304334044456
text_emb_207,1899.5724149346352
image_emb_467,1899.1828666329384
text_emb_294,1899.052266895771
text_emb_212,1898.7582753896713
text_emb_235,1898.5378621220589
image_emb_244,1896.0571020841599
text_emb_29,1895.795527279377
image_emb_281,1895.5488850474358
image_emb_433,1895.137765944004
text_emb_158,1895.1005738973618
image_emb_128,1895.052096247673
image_emb_393,1894.1227493286133
image_emb_445,1893.1351522803307
text_emb_244,1892.0013248324394
image_emb_180,1889.344231724739
image_emb_59,1889.1779263615608
image_emb_206,1888.9951738119125
image_emb_249,1884.9927843213081
image_emb_322,1880.9865686297417
image_emb_204,1880.9649096727371
text_emb_322,1879.4295346736908
image_emb_159,1877.054139494896
text_emb_229,1874.0055329203606
text_emb_226,1872.9380972385406
image_emb_361,1869.5373080968857
image_emb_24,1869.3692541122437
image_emb_396,1868.2084241509438
text_emb_11,1866.6008794903755
image_emb_353,1866.4630028009415
image_emb_36,1865.8406419754028
image_emb_55,1864.6190168261528
text_emb_197,1864.166143834591
image_emb_86,1862.3869602680206
image_emb_352,1856.9796124100685
text_emb_57,1856.9505279660225
text_emb_88,1856.7598614692688
text_emb_117,1855.1061856150627
